Index,Percentage Difference (%),Matlab,Python
306,5.742808607910747e-08,(0.386301762+0j),(0.3863017622218457+0j)
307,5.3387250189389507e-08,(0.387559434+0j),(0.38755943379309266+0j)
308,0.0,(1+0j),(1+0j)
309,0.0,(2+0j),(2+0j)
310,0.0,(6+0j),(6+0j)
311,0.0,(7+0j),(7+0j)
312,3.3460222543742397e-09,(0.454357244+0j),(0.4543572440152029+0j)
313,8.942940209685173e-08,(0.53397218+0j),(0.5339721804775281+0j)
314,0.0,(0.2568558+0j),(0.2568558+0j)
316,0.0,(1+0j),(1+0j)
317,0.0,(2+0j),(2+0j)
318,0.0,(4+0j),(4+0j)
319,0.0,(5+0j),(5+0j)
320,0.0,(6+0j),(6+0j)
321,0.0,(7+0j),(7+0j)
322,9.187941194489473e-08,(0.281723977+0j),(0.2817239767411537+0j)
324,7.987720074558931e-08,(0.471739773+0j),(0.4717397733768125+0j)
328,0.0,(1+0j),(1+0j)
329,0.0,(4+0j),(4+0j)
330,0.0,(5+0j),(5+0j)
331,0.0,(7+0j),(7+0j)
333,4.1320220255558283e-08,(0.243440626+0j),(0.2434406258994098+0j)
334,1.582854510800053e-08,(1.059706032+0j),(1.059706031832264+0j)
336,0.0,(1+0j),(1+0j)
337,0.0,(4+0j),(4+0j)
338,0.0,(5+0j),(5+0j)
339,0.0,(6+0j),(6+0j)
340,0.0,(7+0j),(7+0j)
344,2.831142359383504e-08,(0.317604287+0j),(0.3176042869100817+0j)
345,3.822402780762169e-08,(1.067158119+0j),(1.0671581194079107+0j)
346,0.0,(3+0j),(3+0j)
347,0.0,(6+0j),(6+0j)
348,1.8994567310020428e-08,(1.134047784+0j),(1.1340477837845926+0j)
350,0.0,(-590.8089411+0j),(-590.8089411+0j)
351,0.0,(-638.3784733+0j),(-638.3784733+0j)
352,0.0,(-407.8688846+0j),(-407.8688846+0j)
353,0.0,(-24.06357227+0j),(-24.06357227+0j)
354,0.0,(-2.829921566+0j),(-2.829921566+0j)
355,0.0,(-5.965552648+0j),(-5.965552648+0j)
356,0.0,(-14.87441352+0j),(-14.87441352+0j)
357,0.0,(-31.61414356+0j),(-31.61414356+0j)
358,4.276386809577127e-09,(8131.074453+0j),(8131.074453347716+0j)
359,0.0,(7667.230206+0j),(7667.230206+0j)
360,1.1156664937239722e-08,(296.1123092+0j),(296.11230916696377+0j)
361,7.262283231138321e-09,(34.13338833+0j),(34.13338832752114+0j)
362,3.763004581320986e-08,(11.60713953+0j),(11.607139525632228+0j)
363,0.0,0j,0j
364,0.0,0j,0j
365,0.0,0j,0j
366,0.0,(1294.100692+0j),(1294.100692+0j)
367,3.306416436437794e-09,(1220.277587+0j),(1220.2775870403475+0j)
368,9.077110337075517e-09,(47.12773771+0j),(47.127737714277835+0j)
369,3.678016802751172e-09,(5.432497477+0j),(5.432497476800192+0j)
370,1.8313616647858197e-08,(1.847333631+0j),(1.8473336306616863+0j)
371,0.0,0j,0j
372,0.0,0j,0j
373,0.0,0j,0j
374,0.0,(0.072469572+0j),(0.072469572+0j)
375,0.0,(0.082973534+0j),(0.082973534+0j)
376,7.128822519633854e-10,(0.809226186+0j),(0.8092261860057688+0j)
377,7.274949806606356e-08,(0.576194312+0j),(0.5761943115808216+0j)
378,4.874444987337556e-08,(0.236870219+0j),(0.2368702188845389+0j)
379,0.0,(1+0j),(1+0j)
380,0.0,(1+0j),(1+0j)
381,0.0,(1+0j),(1+0j)
382,0.0,(8+0j),(8+0j)
383,0.0,(9+0j),(9+0j)
384,0.0,(10+0j),(10+0j)
385,0.0,(11+0j),(11+0j)
389,5.6761577825895195e-09,(0.256757365+0j),(0.25675736498542606+0j)
390,0.0,(8+0j),(8+0j)
391,0.0,(9+0j),(9+0j)
392,0.0,(10+0j),(10+0j)
393,0.0,(11+0j),(11+0j)
396,2.175381507817419e-08,(0.247541036+0j),(0.24754103594615037+0j)
398,0.0,(8+0j),(8+0j)
399,0.0,(9+0j),(9+0j)
400,0.0,(12+0j),(12+0j)
401,0.0,(13+0j),(13+0j)
405,1.0096808261137134e-07,(0.38794136+0j),(0.38794135960830306+0j)
406,0.0,(1+0j),(1+0j)
407,0.0,(2+0j),(2+0j)
408,0.0,(6+0j),(6+0j)
409,0.0,(7+0j),(7+0j)
410,2.2033409048580993e-08,(0.433052508+0j),(0.43305250790458377+0j)
411,1.1505131963884651e-08,(0.525569981+0j),(0.5255699810604675+0j)
412,3.395927853590968e-08,(0.27052061+0j),(0.27052061009186684+0j)
413,7.48954186181197e-08,(0.119920334+0j),(0.11992033391018517+0j)
414,0.0,(1+0j),(1+0j)
415,0.0,(2+0j),(2+0j)
416,0.0,(4+0j),(4+0j)
417,0.0,(5+0j),(5+0j)
418,0.0,(6+0j),(6+0j)
