Matlab,Python
0.246713119779892 - 0.0202580624070438i,0.24671311977989377-0.020258062407055258j
0.203043837,0.20304383729577027
0.203060493,0.20306049275743204
0.247541036,0.24754103594615037
0.247543436,0.24754343571182888
8,8
9,9
12,12
13,13
0.116925104503567 + 0.00520600088873971i,0.11692510450356858+0.005206000888708901j
0.117652090293742 + 0.00505357128431647i,0.11765209029374044+0.005053571284286817j
0.386790346941573 + 0.00607422807953088i,0.38679034694152975+0.006074228079432849j
0.387897221593383 + 0.00585183517559443i,0.3878972215933224+0.005851835175363952j
0.117040944,0.11704094372664495
0.117760575,0.11776057461311838
0.386838039,0.38683803940914335
0.38794136,0.38794135960830306
1,1
2,2
6,6
7,7
0.278170342802861 - 0.331897175298194i,0.2781703428204805-0.331897175308236j
0.524555568811260 - 0.0326383242032917i,0.5245555688249646-0.032638324200516614j
0.181340937753805 + 0.200740790033271i,0.18134093773350032+0.20074079004131323j
0.0835449783522975 + 0.0860297801798446i,0.08354497834449674+0.08602978018423549j
0.433052508,0.43305250790458377
0.525569981,0.5255699810604675
0.27052061,0.27052061009186684
0.119920334,0.11992033391018517
1,1
2,2
4,4
5,5
6,6
7,7
0.214926740740113 + 0.210859752313561i,0.21492674072190662+0.2108597523387515j
-0.0681706071954971 + 0.0947148078486243i,-0.06817060721329019+0.09471480784090214j
0.457723836174500 - 0.0743166619125694i,0.4577238361904189-0.0743166619312017j
0.109969117578718 - 0.0830483735766323i,0.10996911757106781-0.08304837358842312j
0.255704238927528 - 0.110097068097943i,0.2557042389553462-0.11009706808290667j
0.0570578259642519 - 0.0848275009476579i,0.057057825968605744-0.08482750095086022j
0.301090251,0.30109025064538586
0.116696729,0.1166967287980589
0.463717669,0.4637176689080005
0.137805077,0.13780507673899983
0.278399034,0.2783990341581396
0.102231602,0.10223160187452748
1,1
4,4
5,5
7,7
0.117917570345179 + 8.35787245590014e-17i,0.11791757037566325+2.553688644352344e-17j
0.245358285461209 + 6.23868324393636e-18i,0.24535828545265057-2.2437151672890852e-17j
1.02812604563467 - 3.92778064683380e-17i,1.0281260457075914+8.044907506503508e-18j
-0.305687788865550 + 1.90651304546484e-17i,-0.30568778894348314+7.301381626185382e-18j
0.11791757,0.11791757037566325
0.245358285,0.24535828545265057
1.028126046,1.0281260457075914
0.305687789,0.30568778894348314
1,1
2,2
4,4
5,5
6,6
7,7
-0.111352414083127 - 4.31233651594889e-17i,-0.11135241411253918-7.439097728442625e-18j
0.104895848507217 + 2.09179090134640e-17i,0.10489584852490767-1.9463195904017308e-17j
-0.101426380031144 - 1.70544667880058e-17i,-0.10142638004775753+1.8776318397625347e-17j
-0.220960908457817 + 2.17467246118123e-17i,-0.22096090851297065-1.0664846915784161e-17j
0.323885263257467 + 2.34988977796232e-17i,0.32388526325566586+6.381493573884973e-18j
1.03474882843045 - 6.11526599966247e-18i,1.0347488285152513-3.629092872661714e-18j
0.111352414,0.11135241411253918
0.104895849,0.10489584852490767
0.10142638,0.10142638004775753
0.220960908,0.22096090851297065
0.323885263,0.32388526325566586
1.034748828,1.0347488285152513
3,3
6,6
1.13403743730279 - 5.73629747933898e-18i,1.1340374373084485+8.125491729154788e-18j
-0.131380859050074 + 3.26881422737308e-19i,-0.1313808590556483-5.540276397451852e-18j
1.134037437,1.1340374373084485
0.131380859,0.1313808590556483
-590.8056899,-590.8056899
-638.3821712,-638.3821712
-407.5202269,-407.5202269
